Sensor,Time Point,value
DC21410602,2022-01-15 18:00:00,1.42
DC21410602,2022-01-15 19:00:00,2.16
DC21410602,2022-01-15 20:00:00,2.44
DC21410602,2022-01-15 21:00:00,2.39
DC21410602,2022-01-15 22:00:00,2.63
DC21410602,2022-01-15 23:00:00,2.89
DC21410602,2022-01-16 00:00:00,3.29
DC21410602,2022-01-16 01:00:00,3.63
DC21410602,2022-01-16 02:00:00,3.4
DC21410602,2022-01-16 03:00:00,3.17
DC21410602,2022-01-16 04:00:00,3.06
DC21410602,2022-01-16 05:00:00,3.11
DC21410602,2022-01-16 06:00:00,3.35
DC21410602,2022-01-16 07:00:00,3.49
DC21410602,2022-01-16 08:00:00,3.84
DC21410602,2022-01-16 09:00:00,4.17
DC21410602,2022-01-16 10:00:00,4.31
DC21410602,2022-01-16 11:00:00,4.65
DC21410602,2022-01-16 12:00:00,4.67
DC21410602,2022-01-16 13:00:00,4.84
DC21410602,2022-01-16 14:00:00,4.6
DC21410602,2022-01-16 15:00:00,4.68
DC21410602,2022-01-16 16:00:00,4.5
DC21410602,2022-01-16 17:00:00,4.5
DC21410602,2022-01-16 18:00:00,3.42
DC21410602,2022-01-16 19:00:00,2.42
DC21410602,2022-01-16 20:00:00,1.45
DC21410602,2022-01-16 21:00:00,0.64
DC21410602,2022-01-16 22:00:00,0.05
DC21410602,2022-01-16 23:00:00,0.0
DC21410602,2022-01-17 00:00:00,0.0
DC21410602,2022-01-17 01:00:00,0.0
DC21410602,2022-01-17 02:00:00,0.0
DC21410602,2022-01-17 03:00:00,0.0
DC21410602,2022-01-17 04:00:00,0.0
DC21410602,2022-01-17 05:00:00,0.0
DC21410602,2022-01-17 06:00:00,0.0
DC21410602,2022-01-17 07:00:00,0.0
DC21410602,2022-01-17 08:00:00,0.0
DC21410602,2022-01-17 09:00:00,0.0
DC21410602,2022-01-17 10:00:00,0.0
DC21410602,2022-01-17 11:00:00,0.0
DC21410602,2022-01-17 12:00:00,0.0
DC21410602,2022-01-17 13:00:00,0.05
DC21410602,2022-01-17 14:00:00,0.24
DC21410602,2022-01-17 15:00:00,0.74
DC21410602,2022-01-17 16:00:00,0.77
DC21410602,2022-01-17 17:00:00,0.87
DC21410602,2022-01-17 18:00:00,0.99
DC21410602,2022-01-17 19:00:00,1.27
DC21410602,2022-01-17 20:00:00,1.44
DC21410602,2022-01-17 21:00:00,1.89
DC21410602,2022-01-17 22:00:00,2.25
