Sensor,Time Point,value
DC21410602,2022-01-19 14:00:00,436.92
DC21410602,2022-01-19 15:00:00,435.1
DC21410602,2022-01-19 16:00:00,427.8
DC21410602,2022-01-19 17:00:00,421.03
DC21410602,2022-01-19 18:00:00,417.28
DC21410602,2022-01-19 19:00:00,414.86
DC21410602,2022-01-19 20:00:00,413.64
DC21410602,2022-01-19 21:00:00,412.1
DC21410602,2022-01-19 22:00:00,411.49
DC21410602,2022-01-19 23:00:00,412.79
DC21410602,2022-01-20 00:00:00,414.75
DC21410602,2022-01-20 01:00:00,414.47
DC21410602,2022-01-20 02:00:00,414.51
DC21410602,2022-01-20 03:00:00,414.42
DC21410602,2022-01-20 04:00:00,420.37
DC21410602,2022-01-20 05:00:00,430.52
DC21410602,2022-01-20 06:00:00,444.77
DC21410602,2022-01-20 07:00:00,449.59
DC21410602,2022-01-20 08:00:00,444.75
DC21410602,2022-01-20 09:00:00,440.04
DC21410602,2022-01-20 10:00:00,438.9
DC21410602,2022-01-20 11:00:00,438.09
DC21410602,2022-01-20 12:00:00,436.87
DC21410602,2022-01-20 13:00:00,434.8
DC21410602,2022-01-20 14:00:00,433.02
DC21410602,2022-01-20 15:00:00,432.4
DC21410602,2022-01-20 16:00:00,430.79
DC21410602,2022-01-20 17:00:00,429.6
DC21410602,2022-01-20 18:00:00,428.98
DC21410602,2022-01-20 19:00:00,429.27
DC21410602,2022-01-20 20:00:00,429.1
DC21410602,2022-01-20 21:00:00,427.02
DC21410602,2022-01-20 22:00:00,421.45
DC21410602,2022-01-20 23:00:00,424.46
DC21410602,2022-01-21 00:00:00,424.22
DC21410602,2022-01-21 01:00:00,422.52
DC21410602,2022-01-21 02:00:00,421.62
DC21410602,2022-01-21 03:00:00,420.93
DC21410602,2022-01-21 04:00:00,420.63
DC21410602,2022-01-21 05:00:00,421.57
DC21410602,2022-01-21 06:00:00,422.92
DC21410602,2022-01-21 07:00:00,426.73
DC21410602,2022-01-21 08:00:00,429.87
DC21410602,2022-01-21 09:00:00,434.88
DC21410602,2022-01-21 10:00:00,439.67
DC21410602,2022-01-21 11:00:00,440.32
DC21410602,2022-01-21 12:00:00,441.93
DC21410602,2022-01-21 13:00:00,441.36
DC21410602,2022-01-21 14:00:00,441.31
DC21410602,2022-01-21 15:00:00,442.11
DC21410602,2022-01-21 16:00:00,440.11
DC21410602,2022-01-21 17:00:00,437.22
DC21410602,2022-01-21 18:00:00,434.74
DC21410602,2022-01-21 19:00:00,433.1
DC21410602,2022-01-21 20:00:00,433.53
DC21410602,2022-01-21 21:00:00,433.29
DC21410602,2022-01-21 22:00:00,431.24
DC21410602,2022-01-21 23:00:00,427.91
DC21410602,2022-01-22 00:00:00,426.4
DC21410602,2022-01-22 01:00:00,425.24
DC21410602,2022-01-22 02:00:00,424.97
DC21410602,2022-01-22 03:00:00,424.57
DC21410602,2022-01-22 04:00:00,424.84
DC21410602,2022-01-22 05:00:00,424.42
DC21410602,2022-01-22 06:00:00,425.78
DC21410602,2022-01-22 07:00:00,426.55
DC21410602,2022-01-22 08:00:00,426.89
DC21410602,2022-01-22 09:00:00,427.18
DC21410602,2022-01-22 10:00:00,427.46
DC21410602,2022-01-22 11:00:00,426.74
DC21410602,2022-01-22 12:00:00,425.54
DC21410602,2022-01-22 13:00:00,423.3
DC21410602,2022-01-22 14:00:00,421.39
DC21410602,2022-01-22 15:00:00,420.22
DC21410602,2022-01-22 16:00:00,418.36
DC21410602,2022-01-22 17:00:00,417.79
DC21410602,2022-01-22 18:00:00,419.14
