Sensor,Time Point,value
DC21410602,2022-01-14 16:00:00,21.4
DC21410602,2022-01-14 17:00:00,21.18
DC21410602,2022-01-14 18:00:00,21.04
DC21410602,2022-01-14 19:00:00,20.64
DC21410602,2022-01-14 20:00:00,20.48
DC21410602,2022-01-14 21:00:00,20.37
DC21410602,2022-01-14 22:00:00,20.15
DC21410602,2022-01-14 23:00:00,19.9
DC21410602,2022-01-15 00:00:00,19.45
DC21410602,2022-01-15 01:00:00,18.67
DC21410602,2022-01-15 02:00:00,17.69
DC21410602,2022-01-15 03:00:00,17.03
DC21410602,2022-01-15 04:00:00,16.37
DC21410602,2022-01-15 05:00:00,15.84
DC21410602,2022-01-15 06:00:00,15.24
DC21410602,2022-01-15 07:00:00,14.7
DC21410602,2022-01-15 08:00:00,14.34
DC21410602,2022-01-15 09:00:00,13.92
DC21410602,2022-01-15 10:00:00,13.43
DC21410602,2022-01-15 11:00:00,12.91
DC21410602,2022-01-15 12:00:00,12.55
DC21410602,2022-01-15 13:00:00,12.34
DC21410602,2022-01-15 14:00:00,12.1
DC21410602,2022-01-15 15:00:00,11.89
DC21410602,2022-01-15 16:00:00,11.73
DC21410602,2022-01-15 17:00:00,11.65
DC21410602,2022-01-15 18:00:00,11.62
DC21410602,2022-01-15 19:00:00,11.63
DC21410602,2022-01-15 20:00:00,11.64
DC21410602,2022-01-15 21:00:00,11.63
DC21410602,2022-01-15 22:00:00,11.61
DC21410602,2022-01-15 23:00:00,11.57
DC21410602,2022-01-16 00:00:00,11.52
DC21410602,2022-01-16 01:00:00,11.79
DC21410602,2022-01-16 02:00:00,11.97
DC21410602,2022-01-16 03:00:00,11.96
DC21410602,2022-01-16 04:00:00,11.92
DC21410602,2022-01-16 05:00:00,11.89
DC21410602,2022-01-16 06:00:00,11.85
DC21410602,2022-01-16 07:00:00,11.85
DC21410602,2022-01-16 08:00:00,11.84
DC21410602,2022-01-16 09:00:00,11.9
DC21410602,2022-01-16 10:00:00,11.97
DC21410602,2022-01-16 11:00:00,12.11
DC21410602,2022-01-16 12:00:00,12.22
DC21410602,2022-01-16 13:00:00,12.35
DC21410602,2022-01-16 14:00:00,12.76
DC21410602,2022-01-16 15:00:00,13.61
DC21410602,2022-01-16 16:00:00,14.48
DC21410602,2022-01-16 17:00:00,15.46
DC21410602,2022-01-16 18:00:00,16.35
DC21410602,2022-01-16 19:00:00,17.27
DC21410602,2022-01-16 20:00:00,18.02
DC21410602,2022-01-16 21:00:00,18.73
DC21410602,2022-01-16 22:00:00,19.46
DC21410602,2022-01-16 23:00:00,20.18
DC21410602,2022-01-17 00:00:00,20.3
DC21410602,2022-01-17 01:00:00,20.85
DC21410602,2022-01-17 02:00:00,21.84
DC21410602,2022-01-17 03:00:00,22.25
DC21410602,2022-01-17 04:00:00,22.3
DC21410602,2022-01-17 05:00:00,22.45
DC21410602,2022-01-17 06:00:00,22.57
DC21410602,2022-01-17 07:00:00,22.62
DC21410602,2022-01-17 08:00:00,22.69
DC21410602,2022-01-17 09:00:00,22.7
DC21410602,2022-01-17 10:00:00,22.56
DC21410602,2022-01-17 11:00:00,22.16
DC21410602,2022-01-17 12:00:00,21.45
DC21410602,2022-01-17 13:00:00,20.79
DC21410602,2022-01-17 14:00:00,20.22
DC21410602,2022-01-17 15:00:00,19.84
DC21410602,2022-01-17 16:00:00,19.71
DC21410602,2022-01-17 17:00:00,19.48
DC21410602,2022-01-17 18:00:00,19.17
DC21410602,2022-01-17 19:00:00,18.87
DC21410602,2022-01-17 20:00:00,18.63
DC21410602,2022-01-17 21:00:00,18.6
DC21410602,2022-01-17 22:00:00,18.5
DC21410602,2022-01-17 23:00:00,18.35
DC21410602,2022-01-18 00:00:00,18.36
DC21410602,2022-01-18 01:00:00,18.48
DC21410602,2022-01-18 02:00:00,18.59
DC21410602,2022-01-18 03:00:00,18.69
DC21410602,2022-01-18 04:00:00,18.91
DC21410602,2022-01-18 05:00:00,19.47
DC21410602,2022-01-18 06:00:00,19.42
